Time, CounterData
2016-11-12 00:26:22.603841,1.00000000034186E+007
2016-11-12 00:26:27.898679,9.99999999459290E+006
2016-11-12 00:26:32.405294,9.99999999790101E+006
2016-11-12 00:26:37.919895,9.99999999783998E+006
2016-11-12 00:26:42.500714,9.99999999404359E+006
2016-11-12 00:26:48.184829,1.00000000043707E+007
2016-11-12 00:26:52.700168,1.00000000062384E+007
2016-11-12 00:26:57.485068,9.99999999773012E+006
2016-11-12 00:27:03.214675,9.99999999720521E+006
2016-11-12 00:27:07.734573,9.99999998826966E+006
2016-11-12 00:27:12.211518,9.99999999992738E+006
2016-11-12 00:27:17.938106,9.99999999419007E+006
2016-11-12 00:27:22.488781,1.00000000024176E+007
2016-11-12 00:27:27.995973,9.99999999493470E+006
2016-11-12 00:27:32.542076,1.00000000005255E+007
2016-11-12 00:27:38.027941,1.00000000010870E+007
2016-11-12 00:27:42.676758,9.99999999320130E+006
2016-11-12 00:27:48.303851,9.99999998878236E+006
2016-11-12 00:27:52.800656,9.99999999242006E+006
2016-11-12 00:27:57.348148,1.00000000128302E+007
2016-11-12 00:28:03.342906,9.99999998967348E+006
2016-11-12 00:28:07.836969,9.99999999514223E+006
2016-11-12 00:28:13.132955,9.99999999588685E+006
2016-11-12 00:28:17.608695,9.99999999525209E+006
2016-11-12 00:28:22.147461,1.00000000023688E+007
2016-11-12 00:28:27.650025,1.00000000007575E+007
2016-11-12 00:28:32.387759,9.99999999234682E+006
2016-11-12 00:28:37.432955,9.99999999821840E+006
2016-11-12 00:28:42.784476,1.00000000095587E+007
2016-11-12 00:28:47.211563,9.99999999216371E+006
2016-11-12 00:28:52.753970,1.00000000031622E+007
2016-11-12 00:28:57.242854,9.99999999188295E+006
2016-11-12 00:29:02.495708,1.00000000017462E+007
2016-11-12 00:29:08.422502,9.99999998721986E+006
2016-11-12 00:29:12.660991,1.00000000026862E+007
2016-11-12 00:29:18.280732,9.99999999212709E+006
2016-11-12 00:29:22.953306,9.99999998986879E+006
2016-11-12 00:29:27.554260,1.00000000014411E+007
2016-11-12 00:29:33.268780,9.99999999395814E+006
2016-11-12 00:29:37.566497,9.99999998933168E+006
2016-11-12 00:29:43.290300,9.99999999932924E+006
2016-11-12 00:29:47.594400,9.99999999497132E+006
2016-11-12 00:29:52.346898,9.99999999295717E+006
2016-11-12 00:29:58.165835,1.00000000062018E+007
2016-11-12 00:30:02.624833,9.99999999843812E+006
2016-11-12 00:30:07.309789,1.00000000057379E+007
2016-11-12 00:30:12.643944,1.00000000096686E+007
2016-11-12 00:30:18.394016,9.99999998787904E+006
2016-11-12 00:30:22.884693,9.99999999526429E+006
2016-11-12 00:30:27.362136,1.00000000007086E+007
2016-11-12 00:30:32.935762,1.00000000010138E+007
2016-11-12 00:30:37.446424,9.99999999127260E+006
2016-11-12 00:30:42.896224,9.99999999722963E+006
2016-11-12 00:30:48.182992,1.00000000081427E+007
2016-11-12 00:30:52.479535,9.99999999332338E+006
2016-11-12 00:30:57.988976,1.00000000005499E+007
2016-11-12 00:31:02.254123,1.00000000068610E+007
2016-11-12 00:31:07.869030,1.00000000063361E+007
2016-11-12 00:31:12.482678,9.99999999489809E+006
2016-11-12 00:31:18.012030,1.00000000010870E+007
2016-11-12 00:31:22.550104,1.00000000079596E+007
2016-11-12 00:31:28.279864,9.99999999210268E+006
2016-11-12 00:31:32.749761,9.99999999858461E+006
2016-11-12 00:31:38.362997,9.99999999676576E+006
2016-11-12 00:31:42.591899,9.99999999669252E+006
2016-11-12 00:31:48.357973,9.99999999924379E+006
2016-11-12 00:31:52.601483,1.00000000046515E+007
2016-11-12 00:31:57.897761,9.99999998960023E+006
2016-11-12 00:32:02.345008,9.99999999666811E+006
2016-11-12 00:32:07.691532,9.99999999740053E+006
2016-11-12 00:32:12.404673,1.00000000046759E+007
2016-11-12 00:32:17.897993,1.00000000082526E+007
2016-11-12 00:32:22.414913,1.00000000030402E+007
2016-11-12 00:32:27.945867,9.99999999329897E+006
2016-11-12 00:32:32.207469,9.99999999792543E+006
2016-11-12 00:32:38.196956,1.00000000003424E+007
2016-11-12 00:32:42.762714,1.00000000026496E+007
2016-11-12 00:32:47.291632,1.00000000045050E+007
2016-11-12 00:32:53.164202,9.99999998503480E+006
2016-11-12 00:32:57.607498,9.99999999069887E+006
2016-11-12 00:33:03.093056,9.99999999556947E+006
2016-11-12 00:33:07.779159,9.99999999870668E+006
2016-11-12 00:33:13.406289,9.99999999300600E+006
2016-11-12 00:33:17.826239,9.99999998999086E+006
2016-11-12 00:33:22.559689,9.99999999473940E+006
2016-11-12 00:33:28.094695,1.00000000014288E+007
2016-11-12 00:33:32.605055,9.99999998973451E+006
2016-11-12 00:33:38.121961,9.99999999453187E+006
2016-11-12 00:33:42.603711,9.99999999471498E+006
2016-11-12 00:33:48.105185,1.00000000008307E+007
2016-11-12 00:33:52.347560,1.00000000057868E+007
2016-11-12 00:33:58.149875,9.99999999980531E+006
2016-11-12 00:34:02.644192,9.99999999306703E+006
2016-11-12 00:34:08.232012,9.99999999783998E+006
2016-11-12 00:34:13.013901,9.99999999954897E+006
2016-11-12 00:34:17.692019,1.00000000054205E+007
2016-11-12 00:34:23.422638,9.99999999084535E+006
2016-11-12 00:34:27.871000,9.99999999193177E+006
2016-11-12 00:34:32.241029,9.99999999611879E+006
2016-11-12 00:34:37.966865,9.99999999687562E+006
2016-11-12 00:34:42.504147,9.99999999697328E+006
2016-11-12 00:34:48.008980,9.99999999401917E+006
2016-11-12 00:34:52.275247,9.99999999641176E+006
2016-11-12 00:34:58.011981,9.99999999476381E+006
2016-11-12 00:35:02.773584,9.99999999511781E+006
2016-11-12 00:35:07.310122,9.99999999642397E+006
2016-11-12 00:35:12.983721,9.99999999827943E+006
2016-11-12 00:35:17.222940,1.00000000028693E+007
2016-11-12 00:35:22.880751,1.00000000013800E+007
2016-11-12 00:35:27.567470,9.99999999393373E+006
2016-11-12 00:35:33.320953,9.99999999876771E+006
2016-11-12 00:35:37.833975,1.00000000047492E+007
2016-11-12 00:35:43.111728,9.99999999088197E+006
2016-11-12 00:35:47.557991,9.99999999727846E+006
2016-11-12 00:35:53.102461,9.99999999692445E+006
2016-11-12 00:35:57.659999,9.99999998979555E+006
2016-11-12 00:36:03.336738,9.99999999848695E+006
2016-11-12 00:36:07.913450,1.00000000060187E+007
2016-11-12 00:36:12.367757,9.99999998577943E+006
2016-11-12 00:36:17.928717,9.99999999279847E+006
2016-11-12 00:36:22.457622,9.99999999542299E+006
2016-11-12 00:36:27.722503,9.99999999646058E+006
2016-11-12 00:36:32.774076,1.00000000038825E+007
2016-11-12 00:36:37.494324,1.00000000012702E+007
2016-11-12 00:36:43.042145,1.00000000022955E+007
2016-11-12 00:36:47.755559,9.99999999473939E+006
2016-11-12 00:36:52.365672,1.00000000002570E+007
2016-11-12 00:36:58.045939,1.00000000041876E+007
2016-11-12 00:37:02.722758,1.00000000087897E+007
2016-11-12 00:37:08.308954,9.99999999072328E+006
2016-11-12 00:37:12.821070,9.99999999982973E+006
2016-11-12 00:37:17.331982,1.00000000033331E+007
2016-11-12 00:37:23.017681,1.00000000018927E+007
2016-11-12 00:37:28.476089,9.99999999383607E+006
2016-11-12 00:37:32.933317,1.00000000047736E+007
2016-11-12 00:37:37.351112,9.99999998740297E+006
2016-11-12 00:37:42.887388,9.99999999462953E+006
2016-11-12 00:37:47.849997,1.00000000004523E+007
2016-11-12 00:37:52.376770,1.00000000002692E+007
2016-11-12 00:37:57.844826,9.99999999644838E+006
2016-11-12 00:38:02.367883,1.00000000002814E+007
2016-11-12 00:38:08.167970,9.99999999296937E+006
2016-11-12 00:38:12.654697,9.99999999923158E+006
2016-11-12 00:38:18.208873,1.00000000065436E+007
2016-11-12 00:38:22.699742,9.99999999205385E+006
2016-11-12 00:38:27.168303,1.00000000003302E+007
2016-11-12 00:38:32.707510,9.99999998833070E+006
2016-11-12 00:38:37.173999,9.99999999644838E+006
2016-11-12 00:38:42.493043,9.99999998608461E+006
2016-11-12 00:38:48.308857,9.99999999429994E+006
2016-11-12 00:38:52.569744,9.99999998497377E+006
2016-11-12 00:38:58.072245,9.99999999812074E+006
2016-11-12 00:39:02.568742,1.00000000010382E+007
2016-11-12 00:39:08.108692,9.99999999432436E+006
2016-11-12 00:39:12.348375,1.00000000025031E+007
2016-11-12 00:39:17.798107,1.00000000086066E+007
2016-11-12 00:39:22.493494,1.00000000128912E+007
2016-11-12 00:39:27.933767,9.99999998826967E+006
2016-11-12 00:39:33.397862,9.99999999443422E+006
2016-11-12 00:39:37.868314,1.00000000056769E+007
2016-11-12 00:39:42.416932,1.00000000075446E+007
2016-11-12 00:39:48.097018,1.00000000006842E+007
2016-11-12 00:39:52.663916,1.00000000061652E+007
2016-11-12 00:39:58.132217,9.99999999621645E+006
2016-11-12 00:40:02.713933,9.99999999631410E+006
2016-11-12 00:40:08.208779,9.99999999997621E+006
2016-11-12 00:40:12.878390,9.99999998787904E+006
2016-11-12 00:40:17.459992,9.99999999426332E+006
2016-11-12 00:40:22.971556,9.99999999869447E+006
2016-11-12 00:40:27.512166,9.99999999245668E+006
2016-11-12 00:40:33.008641,1.00000000062750E+007
2016-11-12 00:40:37.542226,9.99999998837953E+006
2016-11-12 00:40:43.010136,9.99999999544740E+006
2016-11-12 00:40:47.489158,1.00000000008917E+007
2016-11-12 00:40:53.072024,9.99999999045473E+006
2016-11-12 00:40:57.542918,1.00000000006964E+007
2016-11-12 00:41:03.305744,9.99999999448305E+006
2016-11-12 00:41:07.809991,9.99999999976870E+006
2016-11-12 00:41:13.253683,9.99999999405581E+006
2016-11-12 00:41:17.869189,1.00000000088263E+007
2016-11-12 00:41:22.127455,9.99999999415347E+006
2016-11-12 00:41:27.641737,1.00000000057746E+007
2016-11-12 00:41:32.152168,1.00000000083136E+007
2016-11-12 00:41:37.669851,9.99999999925600E+006
2016-11-12 00:41:42.921687,1.00000000065680E+007
2016-11-12 00:41:47.331588,9.99999999688784E+006
2016-11-12 00:41:53.193144,1.00000000031745E+007
